20210308,67.41736,8700,Außentemperatur,2.9,&deg;C,8510,Kollektortemperatur 1,45.7,&deg;C,8980,Pufferspeichertemperatur 1,50.0,&deg;C,8830,Trinkwassertemperatur 1,48.9,&deg;C,8832,Trinkwassertemperatur 2,42.9,&deg;C,7750,Trinkwassertemperatur B3,48.9,&deg;C,7820,Fühlertemperatur BX1,45.5,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.41805,8700,Außentemperatur,2.9,&deg;C,8510,Kollektortemperatur 1,45.0,&deg;C,8980,Pufferspeichertemperatur 1,50.2,&deg;C,8830,Trinkwassertemperatur 1,49.1,&deg;C,8832,Trinkwassertemperatur 2,42.9,&deg;C,7750,Trinkwassertemperatur B3,49.0,&deg;C,7820,Fühlertemperatur BX1,45.0,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.41875,8700,Außentemperatur,2.9,&deg;C,8510,Kollektortemperatur 1,44.3,&deg;C,8980,Pufferspeichertemperatur 1,50.2,&deg;C,8830,Trinkwassertemperatur 1,49.2,&deg;C,8832,Trinkwassertemperatur 2,43.0,&deg;C,7750,Trinkwassertemperatur B3,49.2,&deg;C,7820,Fühlertemperatur BX1,44.3,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.41944,8700,Außentemperatur,2.9,&deg;C,8510,Kollektortemperatur 1,43.6,&deg;C,8980,Pufferspeichertemperatur 1,50.3,&deg;C,8830,Trinkwassertemperatur 1,49.3,&deg;C,8832,Trinkwassertemperatur 2,43.0,&deg;C,7750,Trinkwassertemperatur B3,49.3,&deg;C,7820,Fühlertemperatur BX1,43.6,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.42014,8700,Außentemperatur,2.9,&deg;C,8510,Kollektortemperatur 1,46.3,&deg;C,8980,Pufferspeichertemperatur 1,50.4,&deg;C,8830,Trinkwassertemperatur 1,49.4,&deg;C,8832,Trinkwassertemperatur 2,43.1,&deg;C,7750,Trinkwassertemperatur B3,49.4,&deg;C,7820,Fühlertemperatur BX1,46.3,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
20210308,67.42083,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,46.0,&deg;C,8980,Pufferspeichertemperatur 1,50.4,&deg;C,8830,Trinkwassertemperatur 1,49.5,&deg;C,8832,Trinkwassertemperatur 2,43.3,&deg;C,7750,Trinkwassertemperatur B3,49.5,&deg;C,7820,Fühlertemperatur BX1,46.0,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42153,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,45.7,&deg;C,8980,Pufferspeichertemperatur 1,50.5,&deg;C,8830,Trinkwassertemperatur 1,49.6,&deg;C,8832,Trinkwassertemperatur 2,43.4,&deg;C,7750,Trinkwassertemperatur B3,49.6,&deg;C,7820,Fühlertemperatur BX1,45.7,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42222,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,45.1,&deg;C,8980,Pufferspeichertemperatur 1,50.5,&deg;C,8830,Trinkwassertemperatur 1,49.8,&deg;C,8832,Trinkwassertemperatur 2,43.5,&deg;C,7750,Trinkwassertemperatur B3,49.8,&deg;C,7820,Fühlertemperatur BX1,45.1,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42292,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,44.5,&deg;C,8980,Pufferspeichertemperatur 1,50.6,&deg;C,8830,Trinkwassertemperatur 1,49.9,&deg;C,8832,Trinkwassertemperatur 2,43.6,&deg;C,7750,Trinkwassertemperatur B3,49.9,&deg;C,7820,Fühlertemperatur BX1,44.5,&deg;C,8499,Zustand Kollektorpumpe (Q5),0,0
20210308,67.42361,8700,Außentemperatur,3.0,&deg;C,8510,Kollektortemperatur 1,43.9,&deg;C,8980,Pufferspeichertemperatur 1,50.6,&deg;C,8830,Trinkwassertemperatur 1,50.0,&deg;C,8832,Trinkwassertemperatur 2,43.7,&deg;C,7750,Trinkwassertemperatur B3,50.0,&deg;C,7820,Fühlertemperatur BX1,43.9,&deg;C,8499,Zustand Kollektorpumpe (Q5),255,0
